common.name,scientific.name,present.1900,present.mod
Ashton's cuckoo bumble bee,Bombus ashtoni,yes,no
Brown-belted bumble bee,Bombus griseocollis,no,yes
Common eastern bumble bee,Bombus impatiens,no,yes
Confusing bumble bee,Bombus perplexus,yes,yes
Half-black bumble bee,Bombus vagans,yes,yes
Lemon cuckoo-bumble bee,Bombus citrinus,yes,no
Northern amber bumble bee,Bombus borealis,yes,yes
Rusty-patched bumble bee,Bombus affinis,yes,no
Sanderson's bumble bee,Bombus sandersoni,no,yes
Tri-colored bumble bee,Bombus ternarius,yes,yes
Two-spotted bumble bee,Bombus bimaculatus,yes,yes
Yellow-banded bumble bee,Bombus terricola,yes,yes
Yellowish cuckoo-bumble bee,Bombus fervidus,yes,no
