order,super.family,family,genus,scientific.name,common.name
Hymenoptera,Apoidea,Apidae,Apis,Apis mellifera,Western Honey Bee
Hymenoptera,Apoidea,Apidae,Bombus,Bombus bimaculatus,Two-spotted Bumble Bee
Hymenoptera,Apoidea,Apidae,Bombus,Bombus borealis,Northern Amber Bumble Bee
Hymenoptera,Apoidea,Apidae,Bombus,Bombus griseocollis,Brown-belted Bumble Bee
Hymenoptera,Apoidea,Apidae,Bombus,Bombus impatiens,Common Eastern Bumble Bee
Hymenoptera,Apoidea,Apidae,Bombus,Bombus perplexus,Perplexing Bumble Bee
Hymenoptera,Apoidea,Apidae,Bombus,Bombus ternarius,Tricolored Bumble Bee
Hymenoptera,Apoidea,Apidae,Bombus,Bombus terricola,Yellow-banded Bumble Bee
Hymenoptera,Apoidea,Apidae,Bombus,Bombus vagans,Half-black Bumble Bee
Hymenoptera,Apoidea,Apidae,Xylocopa,Xylocopa virginica,Eastern Carpenter Bee
Lepidoptera,Geometroidea,Geometridae,Aethalura,Aethalura intertexta,Four-barred Gray
Lepidoptera,Geometroidea,Geometridae,Anavitrinella,Anavitrinella pampinaria,Common Gray
Lepidoptera,Geometroidea,Geometridae,Archiearis,Archiearis infans,Infant Moth
Lepidoptera,Geometroidea,Geometridae,Biston,Biston betularia,Peppered Moth
Lepidoptera,Geometroidea,Geometridae,Campaea,Campaea perlata,Pale Beauty
Lepidoptera,Geometroidea,Geometridae,Caripeta,Caripeta angustiorata,Brown Pine Looper Moth
Lepidoptera,Geometroidea,Geometridae,Caripeta,Caripeta divisata,Gray Spruce Looper Moth
Lepidoptera,Geometroidea,Geometridae,Caripeta,Caripeta piniata,Northern Pine Looper Moth
Lepidoptera,Geometroidea,Geometridae,Cingilia,Cingilia catenaria,Chain-dotted Geometer
Lepidoptera,Geometroidea,Geometridae,Cladara,Cladara limitaria,Mottled Gray Carpet
Lepidoptera,Geometroidea,Geometridae,Costaconvexa,Costaconvexa centrostrigaria,Bent-lined Carpet
Lepidoptera,Geometroidea,Geometridae,Cyclophora,Cyclophora pendulinaria,Sweetfern Geometer Moth
Lepidoptera,Geometroidea,Geometridae,Ecliptopera,Ecliptopera silaceata,Small Phoenix
Lepidoptera,Geometroidea,Geometridae,Ectropis,Ectropis crepuscularia,Small Engrailed
Lepidoptera,Geometroidea,Geometridae,Ennomos,Ennomos magnaria,Maple Spanworm Moth
Lepidoptera,Geometroidea,Geometridae,Ennomos,Ennomos subsignaria,Elm Spanworm Moth
Lepidoptera,Geometroidea,Geometridae,Epirrita,Epirrita autumnata,Autumnal Moth
Lepidoptera,Geometroidea,Geometridae,Eubaphe,Eubaphe mendica,Beggar Moth
Lepidoptera,Geometroidea,Geometridae,Euchlaena,Euchlaena serrata,Saw-wing
Lepidoptera,Geometroidea,Geometridae,Eufidonia,Eufidonia notataria,Powder Moth
Lepidoptera,Geometroidea,Geometridae,Eulithis,Eulithis explanata,White Eulithis Moth
Lepidoptera,Geometroidea,Geometridae,Eulithis,Eulithis serrataria,Serrated Eulithis Moth
Lepidoptera,Geometroidea,Geometridae,Euphyia,Euphyia intermediata,American Sharp-angled Carpet
Lepidoptera,Geometroidea,Geometridae,Eutrapela,Eutrapela clemataria,Curved-toothed Geometer Moth
Lepidoptera,Geometroidea,Geometridae,Hethemia,Hethemia pistasciaria,Pistachio Emerald
Lepidoptera,Geometroidea,Geometridae,Hypagyrtis,Hypagyrtis piniata,Pine Measuringworm Moth
Lepidoptera,Geometroidea,Geometridae,Idaea,Idaea dimidiata,Single-dotted Wave
Lepidoptera,Geometroidea,Geometridae,Lambdina,Lambdina fiscellaria,Hemlock Looper Moth
Lepidoptera,Geometroidea,Geometridae,Lomographa,Lomographa vestaliata,White Spring Moth
Lepidoptera,Geometroidea,Geometridae,Macaria,Macaria aemulataria,Common Angle
Lepidoptera,Geometroidea,Geometridae,Macaria,Macaria pustularia,Lesser Maple Spanworm Moth
Lepidoptera,Geometroidea,Geometridae,Melanolophia,Melanolophia signataria,Signate Melanolophia Moth
Lepidoptera,Geometroidea,Geometridae,Mesoleuca,Mesoleuca ruficillata,White-ribboned Carpet Moth
Lepidoptera,Geometroidea,Geometridae,Metanema,Metanema inatomaria,Pale Metanema Moth
Lepidoptera,Geometroidea,Geometridae,Nematocampa,Nematocampa resistaria,Horned Spanworm Moth
Lepidoptera,Geometroidea,Geometridae,Nemoria,Nemoria rubrifrontaria,Red-fronted Emerald
Lepidoptera,Geometroidea,Geometridae,Nepytia,Nepytia canosaria,False Hemlock Looper Moth
Lepidoptera,Geometroidea,Geometridae,Operophtera,Operophtera bruceata,Bruce Spanworm Moth
Lepidoptera,Geometroidea,Geometridae,Orthonama,Orthonama obstipata,Gem Moth
Lepidoptera,Geometroidea,Geometridae,Plagodis,Plagodis alcoolaria,Hollow-spotted Plagodis Moth
Lepidoptera,Geometroidea,Geometridae,Pleuroprucha,Pleuroprucha insulsaria,Common Tan Wave
Lepidoptera,Geometroidea,Geometridae,Prochoerodes,Prochoerodes lineola,Large Maple Spanworm Moth
Lepidoptera,Geometroidea,Geometridae,Protoboarmia,Protoboarmia porcelaria,Porcelain Gray
Lepidoptera,Geometroidea,Geometridae,Rheumaptera,Rheumaptera prunivorata,Cherry Scallop Shell Moth
Lepidoptera,Geometroidea,Geometridae,Scopula,Scopula limboundata,Large Lace-border Moth
Lepidoptera,Geometroidea,Geometridae,Synchlora,Synchlora aerata,Wavy-lined Emerald
Lepidoptera,Geometroidea,Geometridae,Tacparia,Tacparia detersata,Pale Alder Moth
Lepidoptera,Geometroidea,Geometridae,Tetracis,Tetracis cachexiata,White Slant-line
Lepidoptera,Geometroidea,Geometridae,Tetracis,Tetracis crocallata,Yellow Slant-line
Lepidoptera,Geometroidea,Geometridae,Thera,Thera juniperata,Juniper Carpet
Lepidoptera,Geometroidea,Geometridae,Xanthorhoe,Xanthorhoe ferrugata,Dark-barred Twin-spot Carpet
Lepidoptera,Geometroidea,Geometridae,Xanthotype,Xanthotype,Crocus Geometer Moths
Lepidoptera,Hesperioidea,Hesperiidae,Amblyscirtes,Amblyscirtes hegon,Pepper and Salt Skipper
Lepidoptera,Papilionoidea,Hesperiidae,Anatrytone,Anatrytone logan,Delaware Skipper
Lepidoptera,Hesperioidea,Hesperiidae,Ancyloxypha,Ancyloxypha numitor,Least Skipper
Lepidoptera,Papilionoidea,Hesperiidae,Carterocephalus,Carterocephalus mandan,Arctic Skipper
Lepidoptera,Papilionoidea,Hesperiidae,Epargyreus,Epargyreus clarus,Silver-spotted Skipper
Lepidoptera,Papilionoidea,Hesperiidae,Erynnis,Erynnis juvenalis,Juvenal's Duskywing
Lepidoptera,Hesperioidea,Hesperiidae,Euphyes,Euphyes vestris,Dun Skipper
Lepidoptera,Hesperioidea,Hesperiidae,Hesperia,Hesperia comma,Common Branded Skipper
Lepidoptera,Papilionoidea,Hesperiidae,Lon,Lon hobomok,Hobomok Skipper
Lepidoptera,Hesperioidea,Hesperiidae,Polites,Polites mystic,Long Dash
Lepidoptera,Hesperioidea,Hesperiidae,Polites,Polites themistocles,Tawny-edged Skipper
Lepidoptera,Papilionoidea,Hesperiidae,Thymelicus,Thymelicus lineola,Essex Skipper
Lepidoptera,Papilionoidea,Lycaenidae,Callophrys,Callophrys augustinus,Brown Elfin
Lepidoptera,Papilionoidea,Lycaenidae,Callophrys,Callophrys niphon,Eastern Pine Elfin
Lepidoptera,Papilionoidea,Lycaenidae,Celastrina,Celastrina lucia,Northern Azure
Lepidoptera,Papilionoidea,Lycaenidae,Cupido,Cupido comyntas,Eastern Tailed-Blue
Lepidoptera,Papilionoidea,Lycaenidae,Feniseca,Feniseca tarquinius,Harvester
Lepidoptera,Papilionoidea,Lycaenidae,Glaucopsyche,Glaucopsyche lygdamus,Silvery Blue
Lepidoptera,Papilionoidea,Lycaenidae,Lycaena,Lycaena phlaeas,Small Copper
Lepidoptera,Papilionoidea,Lycaenidae,Lycaena,Lycaena phlaeas hypophlaeas,Eastern American Copper
Lepidoptera,Papilionoidea,Lycaenidae,Satyrium,Satyrium calanus,Banded Hairstreak
Lepidoptera,Papilionoidea,Lycaenidae,Satyrium,Satyrium liparops,Striped Hairstreak
Lepidoptera,Papilionoidea,Lycaenidae,Strymon,Strymon melinus,Gray Hairstreak
Lepidoptera,Noctuoidea,Noctuidae,Acronicta,Acronicta americana,American Dagger
Lepidoptera,Noctuoidea,Noctuidae,Acronicta,Acronicta fallax,Green Marvel
Lepidoptera,Noctuoidea,Noctuidae,Acronicta,Acronicta funeralis,Funerary Dagger
Lepidoptera,Noctuoidea,Noctuidae,Acronicta,Acronicta insita,Large Gray Dagger
Lepidoptera,Noctuoidea,Noctuidae,Acronicta,Acronicta lanceolaria,Lanceolate Dagger
Lepidoptera,Noctuoidea,Noctuidae,Acronicta,Acronicta lepusculina,Cottonwood Dagger
Lepidoptera,Noctuoidea,Noctuidae,Acronicta,Acronicta lobeliae,Greater Oak Dagger
Lepidoptera,Noctuoidea,Noctuidae,Acronicta,Acronicta oblinita,Smeared Dagger
